Designator,Mid X,Mid Y,Layer,Rotation
,112.088713,-162.154958,top,0.000000
,122.277076,-140.751436,top,-90.000000
,129.865451,-137.741444,top,-90.000000
,127.373601,-137.741444,top,-90.000000
,116.368110,-127.803677,top,0.000000
,118.907959,-127.817481,top,0.000000
,124.867531,-140.781984,top,-90.000000
,122.263505,-137.723387,top,-90.000000
,104.883274,-145.353628,top,0.000000
,124.863695,-137.759501,top,-90.000000
,104.753173,-139.629183,top,0.000000
C1,106.183060,-147.588507,top,180.000000
C2,136.349489,-137.283237,top,110.000000
C3,123.516807,-145.000000,top,0.000000
C4,106.027708,-150.121929,top,180.000000
C5,119.500000,-155.980000,top,0.000000
C6,114.780220,-134.155998,top,180.000000
C11,121.682667,-151.265817,top,-90.000000
C12,127.367531,-140.781984,top,-90.000000
C13,129.867531,-140.781984,top,-90.000000
C14,132.500000,-148.500000,top,0.000000
C15,105.321195,-142.495546,top,-90.000000
D1,135.808666,-148.826421,top,0.000000
D2,126.512120,-161.063808,top,25.000000
D3,119.292500,-157.980000,top,0.000000
D6,108.500000,-142.500000,top,-90.000000
D7,108.689222,-160.761800,top,155.000000
D8,99.989352,-143.666218,top,90.000000
J2,121.540000,-131.500000,top,-90.000000
J3,137.000000,-140.920000,top,0.000000
J4,133.469356,-140.923469,top,0.000000
J5,114.743561,-162.115070,top,90.000000
J6,121.460000,-127.757222,top,90.000000
J7,107.725000,-127.500000,top,90.000000
Q1,111.365000,-140.825000,top,90.000000
Q2,125.877904,-151.265817,top,0.000000
R1,116.000000,-137.500000,top,90.000000
R4,131.046011,-150.297842,top,0.000000
R5,125.654518,-158.919398,top,0.000000
R8,107.000000,-138.500000,top,90.000000
R9,110.490827,-133.462020,top,-90.000000
R10,115.175000,-159.000000,top,0.000000
R11,119.426516,-151.306642,top,90.000000
R12,112.196677,-158.996702,top,180.000000
U1,117.030000,-145.000000,top,0.000000
U3,113.000000,-153.500000,top,180.000000
Y1,111.000000,-147.200000,top,90.000000
