Designator,Footprint,Quantity,Value,LCSC Part #
"_11, _10, _9, _8, _7",,5,,
"C1, C2, C5, C6",0603,4,1u,
"C11, C12, C13, C14, C3",0603,5,100n,
C15,0603,1,10n,
C4,CP_EIA-3216-10_Kemet-I,1,4u7_16V,
"D1, D7",0805,2,Yellow,
D2,0805,1,Green,
D3,0603,1,D_Small,
D6,D_SOD-123F,1,1N4148W,
D8,D_SMC_Handsoldering,1,SMCJ85CA,
J2,PinHeader_1x04_P2.54mm_Vertical,1,OLED I2C,
J3,PinHeader_1x03_P2.54mm_Vertical,1,ICSP,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,PinHeader_1x04_P2.54mm_Vertical,1,SPÍD & PWR,
J7,PinHeader_1x02_P2.54mm_Vertical,1,ENG RPM,
Q1,Panasonic_APV-AQY_SSOP-4_4.45x2.65mm_P1.27mm,1,140817143200,
Q2,Panasonic_APV-AQY_SSOP-4_4.45x2.65mm_P1.27mm,1,PC817,
"R1, R12, R4, R5",0603,4,1k,
R10,0603,1,10k,
R11,0603,1,470R,
R8,0603,1,15k,
R9,R_MELF_MMB-0207,1,200R,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,Mikroprofesor,
U3,SOT-223-3_TabPin2,1,LM1117MP-5.0,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,16MHz,
