Designator,Mid X,Mid Y,Rotation,Layer
_11,118.907959,-127.817481,0.0,top
_10,104.883274,-145.353628,0.0,top
_9,104.753173,-139.629183,0.0,top
_8,112.088713,-162.154958,0.0,top
_7,116.36811,-127.803677,0.0,top
C1,111.375,-144.575,180.0,top
C11,121.682667,-151.265817,270.0,top
C12,127.367531,-140.781984,270.0,top
C13,129.867531,-140.781984,270.0,top
C14,132.5,-148.5,0.0,top
C15,105.321195,-142.495546,270.0,top
C2,136.349489,-137.283237,110.0,top
C3,123.516807,-145.0,0.0,top
C4,106.027708,-150.121929,0.0,top
C5,119.5,-155.98,0.0,top
C6,114.78022,-134.155998,180.0,top
D1,135.808666,-148.826421,0.0,top
D2,126.51212,-161.063808,25.0,top
D3,119.2925,-157.98,0.0,top
D6,108.5,-142.5,270.0,top
D7,108.689222,-160.7618,155.0,top
D8,99.989352,-143.666218,90.0,top
J2,117.73,-131.5,270.0,top
J3,137.0,-143.46,0.0,top
J4,133.469356,-143.463469,0.0,top
J5,118.553561,-162.11507,90.0,top
J7,108.995,-127.5,90.0,top
Q1,111.365,-140.825,90.0,top
Q2,125.877904,-151.265817,0.0,top
R1,116.0,-137.5,90.0,top
R10,115.175,-159.0,0.0,top
R11,119.426516,-151.306642,90.0,top
R12,112.196677,-158.996702,180.0,top
R4,131.046011,-150.297842,0.0,top
R5,125.654518,-158.919398,0.0,top
R8,107.0,-138.5,90.0,top
R9,110.490827,-133.46202,270.0,top
U1,117.03,-145.0,90.0,top
U3,113.0,-153.5,0.0,top
Y1,111.0,-147.2,90.0,top
